Card_Num,  Card Name,  Type,  Rarity,  Value ($),  Attribute,  Sub Type,  Level,  ATK,  DEF,  Card Text
MFC-072  ,Magical Plant Mandragola  , Effect Monster  ,Common,0.50, Dark  , Spellcaster  ,2,500,200, FLIP: Put 1 Spell Counter on each face-up card on the field that you can put a Spell Counter on.
MFC-073  ,Magical Scientist  , Effect Monster  ,Common,0.50, Dark  , Spellcaster  ,1,300,300, Pay 1000 Life Points to Special Summon 1 level 6 or lower Fusion Monster from your Fusion Deck in face-up Attack or Defense Position. That Fusion Monster cannot attack your opponent
MFC-074  ,Royal Magical Library  , Effect Monster  ,Common,0.20, Light  , Spellcaster  ,4,0,2000," Each time you or your opponent activates 1 Spell Card, put 1 Spell Counter on this card (max 3). You can remove 3 Spell Counters from this card to draw 1 card from your deck."
MFC-075  ,Armor Exe  , Effect Monster  ,Rare,0.90, Light  , Rock  ,4,2400,1400," This card cannot attack the same turn it is Normal Summoned, Flip Summoned, or Special Summoned. During each of your and your opponent"
MFC-076  ,Tribe-Infecting Virus  , Effect Monster  ,Super Rare,1.10, Water  , Aqua  ,4,1600,1000, Discard 1 card from your hand and declare 1 type of monster to destroy all face-up monsters of the declared Type on both sides of the field.
MFC-077  ,Des Koala  , Effect Monster  ,Rare,0.50, Dark  , Beast  ,3,1100,1800, FLIP: Inflict 400 points of Direct Damage to your opponent
MFC-078  ,Cliff the Trap Remover  , Effect Monster  ,Common,0.20, Dark  , Warrior  ,3,1200,1000, When this card inflicts Battle Damage to your opponent
MFC-079  ,Magical Merchant  , Effect Monster  ,Common,0.30, Light  , Insect  ,1,200,700, FLIP: Pick up (not draw) cards from the top of your Deck until a Spell Card or Trap Card is picked up. Add that card to your hand. Any other cards picked up are sent to the Graveyard.
MFC-080  ,Koitsu  , Union Monster  ,Common,0.30, Water  , Fairy  ,1,200,100," Once per turn during your Main Phase, if your control this monster on the field, you can equip it to your Aitsu as an Equip Spell Card OR change it back to a monster in face-up Attack Position. When equipped to a monster by this card"
MFC-081  ,Cat, Effect Monster  ,Rare,0.60, Earth  , Beast-Warrior  ,1,200,100, During the Damage Steps of your opponent
MFC-082  ,Ultimate Obedient Fiend  , Effect Monster  ,Common,0.40, Fire  , Fiend  ,10,3500,3000," This card can only attack when there are no other cards on your side of the field, and you also have no hand. Negate the effects of Effect Monsters destroyed by this card."
MFC-083  ,Dark Cat with White Tail  , Effect Monster  ,Common,0.30, Earth  , Beast  ,2,800,500, FLIP: Select 2 Monster Cards on your opponent
MFC-084  ,Amazoness Spellcaster  , Spell  ,Common,0.50,  , Normal  ,0,0,0," Until the end of this turn, switch the original ATK of 1 face-up monster on your side of the field that includes Amazoness in its card name, or is named Amazon Archer, with the original ATK of 1 face-up monster on your opponent"
MFC-085  ,Continuous Destruction Punch  , Spell  ,Rare,1.00,  , Continuous  ,0,0,0, When the ATK of an attacking monster on your opponent
MFC-086  ,Big Bang Shot  , Spell  ,Rare,1.30,  , Equip  ,0,0,0, A monster equipped with this card increases its ATK by 400 points. When the equipped monster attacks with an ATK that is higher then the DEF of your opponent
MFC-087  ,Gather Your Mind  , Spell  ,Common,0.40,  , Normal  ,0,0,0, Add 1 Gather Your Mind card from your Deck to your hand. Your Deck is then shuffled. You can only use 1 Gather your Mind per turn.
MFC-088  ,Mass Driver  , Spell  ,Common,0.20,  , Continuous  ,0,0,0, Offer 1 monster on your side of the field as a Tribute to inflict 400 points of Direct Damage to your opponent
MFC-089  ,Senri Eye  , Spell  ,Common,0.50,  , Continuous  ,0,0,0," During each of your Standby Phases, you can see 1 card on the top of your opponent"
MFC-090  ,Emblem of Dragon Destroyer  , Spell  ,Common,0.10,  , Normal  ,0,0,0, Add 1 Buster Blader from your Deck or your Graveyard to your hand.
MFC-091  ,Jar Robber  , Spell  ,Common,0.40,  , Quick-Play  ,0,0,0, You can only activate this card when Pot of Greed is activated. Negate the effect of the Pot of Greed. You draw 1 card from your Deck.
MFC-092  ,My Body as a Shield  , Spell  ,Common,0.30,  , Quick-Play  ,0,0,0," When your opponent activates a card that has the effect that destroys 1 or more monsters on the field, pay 1500 Life Points to negate the activation of the card and destroy it."
MFC-093  ,Pigeonholing Books of Spell  , Spell  ,Common,0.40,  , Quick-Play  ,0,0,0, See the 3 cards from the top of your opponent
MFC-094  ,Mega Ton Magical Cannon  , Spell  ,Rare,0.90,  , Normal  ,0,0,0, Remove 10 Spell Counters on your side of the field. Destroy all cards on your opponent
MFC-095  ,Pitch-Black Power Stone  , Trap  ,Common,0.50,  , Continuous  ,0,0,0," After activation, put 3 Spell Counters on this card. During each of your turns you can move 1 of this card"
MFC-096  ,Amazoness Archers  , Trap  ,Super Rare,2.30,  , Normal  ,0,0,0," This card can only be activated when your opponent attacks and you control a monster on your side of the field that includes Amazoness in its card name, or is named Amazon Archer. All monsters on your opponent"
MFC-097  ,Dramatic Rescue  , Trap  ,Rare,1.40,  , Normal  ,0,0,0," You can only activate this card when a monster on your side of the field that includes Amazoness in its card name, or is named Amazon Archer, is specifically designated as a target by a card. Return the targeted Monster Card to its owner"
MFC-098  ,Exhausting Spell  , Trap  ,Common,0.30,  , Normal  ,0,0,0, Remove all Spell Counters on both sides of the field.
MFC-099  ,Hidden Book of Spell  , Trap  ,Common,0.50,  , Normal  ,0,0,0, You can only activate this card during your turn. Select 2 Spell Cards from your Graveyard and add them to your deck. Your Deck is then shuffled.
MFC-100  ,Miracle Restoring  , Trap  ,Common,0.40,  , Normal  ,0,0,0, Remove 2 Spell Counters on your side of the field. Special Summon 1 Dark Magician or Buster Blader from your Graveyard in face-up Attack or Defense Position.
MFC-101  ,Remove Brainwashing  , Trap  ,Common,0.40,  , Continuous  ,0,0,0," As long as this card remains face-up on the field, the control of all monsters on the field returns to the original owners."
MFC-102  ,Disarmament, Trap  ,Common,0.50,  , Normal  ,0,0,0, Destroy all Equip Spell Cards on the field.
MFC-103  ,Anti-Spell  , Trap  ,Common,0.20,  , Counter  ,0,0,0, Remove 2 Spell Counters on your side of the field. Negate the activation of a Spell Card and destroy it.
MFC-104  ,The Spell Absorbing Life  , Trap  ,Common,0.40,  , Normal  ,0,0,0, Flip all face-down Defense Position Monster Cards on the field face-up. Flip Effects are not actvated at this time. Increase your Life Points by 400 points for each Effect Monster Card on the field.
MFC-105  ,Dark Paladin  , Fusion/Effect Monster  ,Ultra Rare,16.00, Dark  , Spellcaster  ,8,2900,2400," Dark Magician + Buster Blader - This monster can only be Special Summoned by Fusion Summon. As long as this card remains face-up on the field, you can negate the activation of 1 Spell Card and destroy the Spell Card by discarding 1 card from your hand. The ATK of this card increases by 500 points for each Dragon-Type monster on the field and in either Graveyard."
MFC-106  ,Double Spell  , Spell  ,Ultra Rare,9.00,  , Normal  ,0,0,0, Discard 1 Spell Card from your hand. Select 1 Spell Card from your opponent
MFC-107  ,Diffusion Wave-Motion  , Spell  ,Secret Rare,23.00,  , Normal  ,0,0,0," Pay 1000 Life Points. Select 1 level 7 or higher Spellcaster-Type monster on your side of the field. During this turn, only the selected monster can attack and it attacks all monsters on your opponent"
IOC-000  ,Chaos Emperor Dragon - Envoy of the End  , Effect Monster  ,Secret Rare,20.00, Dark  , Dragon  ,8,3000,2500, This card can only be Special Summoned by removing 1 LIGHT and 1 DARK monster in your Graveyard from play. Pay 1000 of your Life Points to send all cards in both players' hands and on the field to the Graveyard. Inflict 300 points of damage to your opponent's Life Points for each card that is sent to the Graveyard by this effect.
IOC-001  ,Ojama Yellow  , Normal Monster  ,Normal,0.10, Light  , Beast  ,2,0,1000," He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens."
IOC-002  ,Ojama Black  , Normal Monster  ,Normal,0.40, Light  , Beast  ,2,0,1000," He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens."
IOC-003  ,Soul Tiger  , Normal Monster  ,Normal,0.50, Earth  , Beast  ,4,0,2100, The soul of a tiger that is said to devour human souls. He is a famous soul that you wouldn't want to run into in a dark alley.
IOC-004  ,Big Koala  , Normal Monster  ,Normal,0.30, Earth  , Beast  ,7,2700,2000," A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful."
IOC-005  ,Des Kangaroo  , Effect Monster  ,Normal,0.50, Dark  , Beast  ,4,1500,1700," When the ATK of a monster that attacks this monster is lower than the DEF of this monster, destroy the attacking monster. Damage calculations is applied normally."
IOC-006  ,Crimson Ninja  , Effect Monster  ,Normal,0.40, Earth  , Warrior  ,1,300,300," FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position."
IOC-007  ,Strike Ninja  , Effect Monster  ,Ultra Rare,5.60, Dark  , Warrior  ,4,1700,1200, You can remove this card from play until the End Phase of this turn by removing 2 DARK monsters in your Graveyard from play. You can use this effect during either player's turn. You can only use this effect once per turn.
IOC-008  ,Gale Lizard  , Effect Monster  ,Normal,0.30, Water  , Reptile  ,4,1400,700, FLIP: Select 1 Monster Card on your opponent's side of the field and return it to its owner's hand.
IOC-009  ,Spirit of the Pot of Greed  , Effect Monster  ,Normal,0.10, Light  , Fairy  ,1,100,100," When this card is in face-up Attack Position on the field, is a player activates Pot of Greed, he/she can draw 1 more card."
IOC-010  ,Chopman the Desperate Outlaw  , Effect Monster  ,Normal,0.30, Dark  , Zombie  ,3,1100,500," When this card is Flip Summoned successfully, you can equip 1 Equip Spell Card in your Graveyard to this card."
IOC-011  ,Sasuke Samurai #3  , Effect Monster  ,Rare,1.50, Light  , Warrior  ,3,1000,1000," When this card inflicts Battle Damage to your opponent's Life Points, your opponent draws until his/her hand has 7 cards."
IOC-012  ,D. D. Scout Plane  , Effect Monster  ,Super Rare,6.20, Dark  , Machine  ,2,800,1200," If this monster is removed from play, Special Summon this card in face-up Attack Position on your side of the field during the End Phase of this turn."
IOC-013  ,Berserk Gorilla  , Effect Monster  ,Rare,1.00, Earth  , Beast  ,4,2000,1000," If this card is in face-up Defense Position on the field, destroy this card. The controller of this card must attack with this card when possible."
IOC-014  ,Freed the Brave Wanderer  , Effect Monster  ,Super Rare,2.10, Light  , Warrior  ,4,1700,1200, Remove 2 LIGHT monster in your Graveyard from play to destroy 1 face-up monster on the field with higher ATK than this card. You can only use this effect once per turn.
IOC-015  ,Coach Goblin  , Effect Monster  ,Normal,0.40, Earth  , Fiend  ,4,1200,1500," As long as this card remains face-up on your side of the field, you can return 1 Normal Monster Card in your hand to the bottom of your Deck during your End Phase to draw 1 card from your Deck. You can only use this effect once per turn."
IOC-016  ,Witch Doctor of Chaos  , Effect Monster  ,Normal,0.40, Dark  , Spellcaster  ,2,500,500, FLIP: Select 1 Monster Card from you or your opponent's Graveyard. Remove it from play.
IOC-017  ,Chaos Necromancer  , Effect Monster  ,Normal,0.10, Dark  , Fiend  ,1,0,0, The ATK of this card becomes the number of Monster Cards in your Graveyard x 300 points.
IOC-018  ,Chaosrider Gustaph  , Effect Monster  ,Super Rare,3.70, Wind  , Warrior  ,4,1400,1500, You can remove up to 2 Spell Cards in your Graveyard from play to increase the ATK of this monster by 300 points for each card removed from play until the end of your opponent's next turn. This effect can only be used once during your turn.
IOC-019  ,Inferno  , Effect Monster  ,Normal,0.20, Fire  , Pyro  ,4,1100,1900," This card can only be Special Summoned by removing 1 FIRE monster in your Graveyard from play. When this card destroys an opponent's monster and sends it to the Graveyard as a result of battle, inflict 1500 points of damage to your opponent's Life Points."
IOC-020  ,Fenrir  , Effect Monster  ,Normal,0.20, Water  , Beast  ,4,1400,1200," This card can only be Special Summoned by removing 2 WATER monster in your Graveyard from play. When this card destroys an opponent's monster and sends it to the Graveyard as a result of battle, your opponent skips his/her next Draw Phase."
IOC-021  ,Gigantes  , Effect Monster  ,Normal,0.50, Earth  , Rock  ,4,1900,1300," This card can only be Special Summoned by removing 1 EARTH monster in your Graveyard from play. When this card is destroyed and send to the Graveyard as a result of battle, destroy all Spell and Trap Cards on the field."
IOC-022  ,Silpheed  , Effect Monster  ,Normal,0.50, Wind  , Fairy  ,4,1700,700," This card can only be Special Summoned by removing 1 WIND monster in your Graveyard from play. When this card is destroyed and send to the Graveyard as a result of battle, your opponent discards 1 card randomly from his/her hand."
IOC-023  ,Chaos Sorcerer  , Effect Monster  ,Normal,0.50, Dark  , Spellcaster  ,6,2300,2000," This card can only be Special Summoned by removing 1 LIGHT and 1 DARK monster in your Graveyard from play. Once during each of your turns, you can remove 1 face-up monster on the field from play. If you activate this effect, this card cannot attack during this turn."
IOC-024  ,Gren Maju Da Eiza  , Effect Monster  ,Normal,0.20, Fire  , Fiend  ,3,0,0, The ATK and DEF of this card become the number of your cards removed from play x 400 points.
IOC-025  ,Black Luster Soldier - Envoy of the Beginning  , Effect Monster  ,Ultra Rare,21.00, Light  , Warrior  ,8,3000,2500," This card can only be Special Summoned by removing 1 LIGHT and 1 DARK monster in your Graveyard from play. Once during each of your turns, you can select and activate 1 of the following effects: ?Remove 1 monster on the field from play. If you activate this effect, this card cannot attack during this turn. ?If this card destroyed your opponent's monster as a result of battle, it can attack once again in a row."
IOC-026  ,Drillago  , Effect Monster  ,Rare,0.90, Dark  , Machine  ,4,1600,1100," When there are only face-up monsters with ATK 1600 or more on your opponent's side of the field, this monster can attack your opponent's Life Points directly."
IOC-027  ,Lekunga  , Effect Monster  ,Rare,1.20, Water  , Plant  ,4,1700,500, Remove 2 WATER monsters in your Graveyard from play to Special Summon 1 Legunga Token (Plant-Type/WATER/2 Stars/ATK 700/DEF 700) in Attack Position on your side of the field.
IOC-028  ,Lord Poison  , Effect Monster  ,Normal,0.10, Water  , Plant  ,4,1500,1000," When this card is destroyed and sent to the Graveyard as a result of battle, Special Summon 1 Plant-Type monster in your Graveyard except Lord Poison on your side of the field."
IOC-029  ,Bowganian  , Effect Monster  ,Normal,0.40, Dark  , Machine  ,3,1300,1000," During each of your Standby Phases, inflict 600 points of damage to your opponent's Life Points."
IOC-030  ,Granadora  , Effect Monster  ,Normal,0.40, Water  , Reptile  ,4,1900,700," When this monster is Normal Summoned, Flip Summoned or Special Summoned successfully, increase your Life Points by 1000 points. When this card is destroyed and sent to the Graveyard, you take 2000 points of damage."
IOC-031  ,Fuhma Shuriken  , Spell  ,Rare,0.70,  , Equip  ,0,0,0," This card can only be used to equip a monster that includes Ninja in its card name. A monster equipped with this card increases its ATK by 700 points. When this card is sent from the field to the Graveyard, inflict 700 points of damage to your opponent's Life Points."
IOC-032  ,Heart of the Underdog  , Spell  ,Normal,0.10,  , Continuous  ,0,0,0," During your Draw Phase, if the card you draw is a Normal Monster Card, you can draw 1 more card by showing the card to your opponent."
IOC-033  ,Wild Nature's Release  , Spell  ,Super Rare,10.00,  , Normal  ,0,0,0, Increase the ATK of 1 face-up Beast-Type or Beast-Warrior-Type Monster on the field by an amount equal to its DEF. Destroy the monster during the End Phase.
IOC-034  ,Ojama Delta Hurricane!!  , Spell  ,Normal,0.10,  ,Normal,0,0,0," You can only activate this card when Ojama Green, Ojama Yellow and Ojama Black are face-up on your side of the field. Destroy all cards on your opponent's side of the field."
IOC-035  ,Stumbling  , Spell  ,Normal,0.10,  , Continuous  ,0,0,0," As long as this card remains face-up on the field, any monster that is Normal Summoned, Flip Summoned or Special Summoned successfully is changed to Defense Position."
IOC-036  ,Chaos End  , Spell  ,Normal,0.50,  ,Normal,0,0,0, You can only activate this card when 7 or more of your cards are removed from play. Destroy all Monster Cards on the field.
IOC-037  ,Yellow Luster Shield  , Spell  ,Normal,0.10,  , Continuous  ,0,0,0, Increase the DEF of all monsters on your side of the field by 300 points.
IOC-038  ,Chaos Greed  , Spell  ,Normal,0.50,  ,Normal,0,0,0, You can only activate this card when 4 or more of your cards are removed from play and there are no cards in your Graveyard. Draw 2 cards from your Deck.
IOC-039  ,D. D. Designator  , Spell  ,Super Rare,6.30,  , Normal  ,0,0,0," Declare 1 card name. Look at your opponent's hand, and if he/she has the declared card in his/her hand, remove that 1 card from play. If he/she doesn't have the declared card in his/her hand, remove 1 random card in your hand from play."
IOC-040  ,D. D. Borderline  , Spell  ,Normal,0.50,  , Continuous  ,0,0,0," When there are no Spell Cards in your Graveyard, neither player can conduct their Battle Phase."
IOC-041  ,Recycle  , Spell  ,Normal,0.30,  , Continuous  ,0,0,0," During your Standby Phase, pay 300 Life Points to select 1 non-Monster Card in your Graveyard and return it to the bottom of your Deck."
IOC-042  ,Primal Seed  , Spell  ,Normal,0.20,  ,Normal,0,0,0, You can only activate this card when there is a Black Luster Soldier - Envoy of the Beginning or Chaos Emperor Dragon - Envoy of the End on the field. Add 2 of your cards that are removed from play to your hand.
IOC-043  ,Thunder Crash  , Spell  ,Normal,0.30,  ,Normal,0,0,0, Destroy all monsters on your side of the field. Inflict damage to your opponent's Life Points equal to the number of monsters destroyed x 300 points.
IOC-044  ,Dimension Distortion  , Spell  ,Normal,0.10,  ,Normal,0,0,0, You can only activate this card when there are no cards in your Graveyard. Select 1 monster that is removed from play and Special Summon it on your side of the field.
IOC-045  ,Reload  , Spell  ,Super Rare,10.00,  , Quick-Play  ,0,0,0, Add your hand to your Deck and shuffle it. Then draw the same number of cards that you added to your Deck.
IOC-046  ,Soul Absorption  , Spell  ,Normal,0.40,  , Continuous  ,0,0,0," Each time a card is removed from play, the controller of this card increases his/her Life Points by 500 points."
IOC-047  ,Big Burn  , Trap  ,Super Rare,11.00,  , Normal  ,0,0,0, You can only activate this card when your opponent activates a card that specifically designates a monster in the Graveyard as a target. Remove all monsters in both players' Graveyards from play.
IOC-048  ,Blasting the Ruins  , Trap  ,Normal,0.30,  ,Normal,0,0,0, You can only activate this card if there are 30 or more cards in your Graveyard. Inflict 3000 points of damage to your opponent's Life Points.
IOC-049  ,Cursed Seal of the Forbidden Spell  , Trap  ,Normal,0.50,  , Counter  ,0,0,0, Discard 1 Spell Card from your hand to negate the activation and the effect of a Spell Card and destroy it. Your opponent cannot activate Spell Cards of the same name (including the Spell Card that is destroyed by this card's effect) during the rest of the Duel.
IOC-050  ,Tower of Babel  , Trap  ,Normal,0.40,  , Continuous  ,0,0,0," Each time you or your opponent activates a Spell Card, put 1 Spell Counter on this card. When the 4th Spell Counter is put on this card, destroy this card and inflict 3000 points of damage to the player that activated the Spell Card at that time."
IOC-051  ,Spatial Collapse  , Trap  ,Normal,0.30,  , Continuous  ,0,0,0," You can only activate this card when both you and your opponent each have 5 or less cards on the field. As long as this card remains face-up on the field, the total number of cards that each player can have on the field is 5."
IOC-052  ,Chain Disappearance  , Trap  ,Rare,1.10,  , Normal  ,0,0,0," You can only activate this card when a monster with an ATK of 1000 or less is Normal Summoned, Flip Summoned or Special Summoned. Remove the monster from play and your opponent removes all monsters of the same name in his/her hand and Deck from play. His/her Deck is then shuffled."
IOC-053  ,Zero Gravity  , Trap  ,Normal,0.30,  ,Normal,0,0,0, Change the battle position of all face-up monsters on you and your opponent's side of the field.
IOC-054  ,Dark Mirror Force  , Trap  ,Ultra Rare,29.00,  , Normal  ,0,0,0, You can only activate this card when your opponent's monster declares an attack. Remove all monsters in Defense Position on your opponent's side of the field.
IOC-055  ,Energy Drain  , Trap  ,Normal,0.10,  ,Normal,0,0,0, Select 1 face-up monster on your side of the field. Increase the ATK and DEF of the monster by an amount equal to the number of cards in your opponent's hand x 200 points until the End Phase.
IOC-056  ,Giga Gagagigo  , Normal Monster  ,Normal,0.50, Water  , Reptile  ,5,2450,1500," In order to fight tremendous evil, he gained formidable power through body reconstruction, but lost his heart and his redemption."
IOC-057  ,Mad Dog of Darkness  , Normal Monster  ,Rare,0.90, Dark  , Beast  ,4,1900,1400," He used to be a normal dog who played around in a park, but was corrupted by the power of darkness."
IOC-058  ,Neo Bug  , Normal Monster  ,Normal,0.30, Earth  , Insect  ,4,1800,1700, A huge bug-like monster said to come from another planet. It gathers in swarms.
IOC-059  ,Sea Serpent Warrior of Darkness  , Normal Monster  ,Normal,0.10, Water  , Sea Serpent  ,4,1800,1500," A warrior who defends the world of the Sea of Darkness. He prides himself on his fighting prowess both on the ground and, of course, in the water."
IOC-060  ,Terrorking Salmon  , Normal Monster  ,Normal,0.20, Water  , Fish  ,5,2400,1000," A feared salmon, master of the Sea of Darkness. Its roe is the best delicacy in the World of Darkness."
IOC-061  ,Blazing Inpachi  , Normal Monster  ,Normal,0.10, Fire  , Pyro  ,4,1850,0," A wicked wooden spirit now burning in flames. Its fire attack is powerful, but it will soon be nothing but ashes."
IOC-062  ,Burning Algae  , Effect Monster  ,Normal,0.40, Fire  , Pyro  ,3,500,1500," When this card is sent to the Graveyard, increase your opponent's Life Points by 1000 points."
IOC-063  ,The Thing in the Crater  , Effect Monster  ,Normal,0.10, Fire  , Pyro  ,4,1000,1200," When this card is destroyed and sent from the field to the Graveyard, you can Special Summon 1 Pyro-Type Monster from your hand."
IOC-064  ,Molten Zombie  , Effect Monster  ,Normal,0.30, Fire  , Pyro  ,4,1600,400," When this card is Special Summoned from the Graveyard, the controller of this card draws 1 card."
IOC-065  ,Dark Magician of Chaos  , Effect Monster  ,Ultra Rare,17.00, Dark  , Spellcaster  ,8,2800,2600," When this card is Normal Summoned or Special Summoned successfully, you can add 1 Spell Card from your Graveyard to your hand. A monster that is destroyed by this monster as a result of battle is removed from play instead of going to the Graveyard. When this card is destroyed or removed from the field, it is removed from play."
IOC-066  ,Gora Turtle of Illusion  , Effect Monster  ,Normal,0.10, Water  , Aqua  ,4,1200,1400, Negate the effect of Spell and Trap Cards controlled by your opponent the specifically designate this face-up card on the field as a target.
IOC-067  ,Manticore of Darkness  , Effect Monster  ,Ultra Rare,22.00, Fire  , Beast-Warrior  ,6,2300,1000," During the End Phase of the turn this card is sent to the Graveyard, send 1 Beast, Beast-Warrior or Winged Beast-Type Monster Card from your hand or your side of the field to the Graveyard to Special Summon this card from the Graveyard."
IOC-068  ,Stealth Bird  , Effect Monster  ,Normal,0.10, Dark  , Winged Beast  ,3,700,1700," You can flip this card into face-down Defense Position once per turn during your Main Phase. When this card is Flip Summoned successfully, inflict 1000 points of damage to your opponent's Life Points."
IOC-069  ,Sacred Crane  , Effect Monster  ,Normal,0.50, Light  , Winged Beast  ,4,1600,400," When this card is Special Summoned, the controller of this card draws 1 card."
IOC-070  ,Enraged Battle Ox  , Effect Monster  ,Rare,0.60, Earth  , Beast-Warrior  ,4,1700,1000," As long as this card remains face-up on your side of the field, when Beast, Beast-Warrior and Winged Beast-Type monsters on your side of the field attack with an ATK that is higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points."
IOC-071  ,Don Turtle  , Effect Monster  ,Normal,0.40, Water  , Reptile  ,3,1100,1200," When this card is Normal Summoned or Flip Summoned successfully, you can Special Summon any number of Don Turtle(s) from your hand."
IOC-072  ,Balloon Lizard  , Effect Monster  ,Normal,0.10, Earth  , Reptile  ,4,500,1900," Put 1 counter on this card during each of your Standby Phases. When this card is destroyed, inflict damage equal to the number of counters x 400 points to the controller of the card that destroyed this card."
IOC-073  ,Dark Driceratops  , Effect Monster  ,Rare,1.50, Earth  , Dinosaur  ,6,2400,1500," When this card attacks with an ATK that is higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points."
IOC-074  ,Hyper Hammerhead  , Effect Monster  ,Normal,0.40, Earth  , Dinosaur  ,4,1500,1200," When this monster battles an opponent's monster, if the opponent's monster is not destroyed as a result of the battle, the opponent's monster is returned to its owner's hand at the end of the Damage Step."
IOC-075  ,Black Tyranno  , Effect Monster  ,Ultra Rare,7.30, Earth  , Dinosaur  ,7,2600,1800," If the only cards on your opponent's side of the field are Defense Position Monster Cards, this card can attack your opponent's Life Points directly."
IOC-076  ,Anti-Aircraft Flower  , Effect Monster  ,Normal,0.20, Earth  , Plant  ,3,0,1600, Offer 1 Insect-Type monster on your side of the field as a Tribute to inflict 800 points of damage to your opponent's Life Points.
IOC-077  ,Prickle Fairy  , Effect Monster  ,Normal,0.30, Earth  , Plant  ,4,300,2000, Your opponent cannot attack Insect-Type monsters unless he/she destroys this card first. The Battle Position of a monster that battles with this card is changed to Defense Position at the end of the Damage Step.
IOC-078  ,Pinch Hopper  , Effect Monster  ,Normal,0.50, Earth  , Insect  ,4,1000,1200," When this card on your side of the field is sent to the Graveyard, you can Special Summon 1 Insect-Type Monster from your hand."
IOC-079  ,Skull-Mark Ladybug  , Effect Monster  ,Normal,0.20, Earth  , Insect  ,4,500,1500," When this card is sent to the Graveyard, Increase your Life Points by 1000 points."
IOC-080  ,Insect Princess  , Effect Monster  ,Ultra Rare,8.20, Wind  , Insect  ,6,1900,1200," As long as this card remains face-up on the field, battle position of all face-up Insect-Type monsters on your opponent's side of the field are changed into Attack Position. Each time this card destroys an Insect-Type monster in battle, increase the ATK of this card by 500 points."
IOC-081  ,Amphibious Bugroth MK-3  , Effect Monster  ,Normal,0.50, Water  , Machine  ,4,1500,1300," As long as 'Umi' remains face-up on the field, this card can attack your opponent's Life Points directly."
IOC-082  ,Torpedo Fish  , Effect Monster  ,Normal,0.20, Water  , Fish  ,3,1000,1000," As long as 'Umi' remains face-up on the field, this card is unaffected by any Spell Cards."
IOC-083  ,Levia-Dragon - Daedalus  , Effect Monster  ,Ultra Rare,8.60, Water  , Sea Serpent  ,7,2600,1500, Send 'Umi' on your side of the field to the Graveyard to destroy all cards on the field except this card.
IOC-084  ,Orca Mega-Fortress of Darkness  , Effect Monster  ,Super Rare,10.00, Water  , Sea Serpent  ,5,2100,1200, Offer 1 Torpedo Fish on your side of the field as a Tribute to destory 1 monster on the field. Offer 1 Cannonball Spear Shellfish on your side of the field as a Tribute to destory 1 Spell or Trap Card on the field.
IOC-085  ,Cannonball Spear Shellfish  , Effect Monster  ,Normal,0.30, Water  , Aqua  ,2,1000,1000," As long as 'Umi' remains face-up on the field, this card is unaffected by any Spell Cards."
IOC-086  ,Mataza the Zapper  , Effect Monster  ,Rare,0.60, Dark  , Warrior  ,3,1300,800," This monster can attack twice during the same Battle Phase. As long as this card remains face-up on the field, control of this card cannot switch."
IOC-087  ,Guardian Angel Joan  , Effect Monster  ,Ultra Rare,10.00, Light  , Fairy  ,7,2800,2000," When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by an amount equal to the original ATK of the destroyed monster."
IOC-088  ,Manju of the Ten Thousand Hands  , Effect Monster  ,Normal,0.40, Light  , Fairy  ,4,1400,1000," When this card is Normal Summoned or Flip Summoned, you can select 1 Ritual Monster Card or 1 Ritual Spell Card from your Deck and add it to your hand."
IOC-089  ,Getsu Fuhma  , Effect Monster  ,Rare,0.90, Dark  , Warrior  ,4,1700,1200," If a monster that battles with this monster is a Fiend or Zombie-Type monster, destroy that monster at the end of the Damage Step."
IOC-090  ,Ryu Kokki  , Effect Monster  ,Normal,0.40, Dark  , Zombie  ,6,2400,2000," If a monster that battles with this monster is a Warrior or Spellcaster-Type monster, destroy that monster at the end of the Damage Step."
IOC-091  ,Gryphon's Feather Duster  , Spell  ,Normal,0.20,  ,Normal,0,0,0, Destroy all Spell and Trap Cards on your side of the field. Increase your Life Points by the number of destroyed cards x 500 points.
IOC-092  ,Stray Lambs  , Spell  ,Rare,0.60,  , Normal  ,0,0,0," When you activate this card, you cannot Normal Summon, Flip Summon or Special Summon during this turn. Special Summon 2 Lamb Tokens (Beast-Type/EARTH/1 Star/ATK 0/DEF 0) in Defense Positionon your side of the field."
IOC-093  ,Smashing Ground  , Spell  ,Normal,0.30,  ,Normal,0,0,0, Destroy 1 monster with the highest DEF on your opponent's side of the field.
IOC-094  ,Dimension Fusion  , Spell  ,Ultra Rare,5.90,  , Normal  ,0,0,0, Pay 2000 Life Points. Both players Special Summon as many of their monsters as possible that have been removed from play.
